n_obs,d,sigma,B,sim,alpha,p_0,test_stat,reject
700,2,1.73205080756888,100,1,0.1,0.5,0.00263170950168397,0
700,2,1.73205080756888,100,2,0.1,0.5,3.41777347528545e-07,0
700,2,1.73205080756888,100,3,0.1,0.5,2.22160989318317e-06,0
700,2,1.73205080756888,100,4,0.1,0.5,7.56908262142246e-09,0
700,2,1.73205080756888,100,5,0.1,0.5,Inf,1
700,2,1.73205080756888,100,6,0.1,0.5,4.11380080914225e-08,0
700,2,1.73205080756888,100,7,0.1,0.5,3.21174418100318e-07,0
700,2,1.73205080756888,100,8,0.1,0.5,2.1594285812657e-08,0
700,2,1.73205080756888,100,9,0.1,0.5,1.03777036872403e-08,0
700,2,1.73205080756888,100,10,0.1,0.5,1.17292887948144e-06,0
700,2,1.73205080756888,100,11,0.1,0.5,6.49099537117126e-10,0
700,2,1.73205080756888,100,12,0.1,0.5,3.6092157517812e-06,0
700,2,1.73205080756888,100,13,0.1,0.5,19096969.0907652,1
700,2,1.73205080756888,100,14,0.1,0.5,2.4757482164271e-08,0
700,2,1.73205080756888,100,15,0.1,0.5,1936904.35617022,1
700,2,1.73205080756888,100,16,0.1,0.5,2.54473988045697e-08,0
700,2,1.73205080756888,100,17,0.1,0.5,6.37752655791949e-05,0
700,2,1.73205080756888,100,18,0.1,0.5,1.0829944549357e-06,0
700,2,1.73205080756888,100,19,0.1,0.5,Inf,1
700,2,1.73205080756888,100,20,0.1,0.5,5.48430616069178e-08,0
