d,mu_norm,n_obs,start_sim,n_sim,B,equal_space_mu
1,0,100,1,200,100,0
1,2,100,1,200,100,0
1,4,100,1,200,100,0
1,4.2,100,1,200,100,0
1,4.4,100,1,200,100,0
1,4.6,100,1,200,100,0
1,4.8,100,1,200,100,0
1,5,100,1,200,100,0
1,5.2,100,1,200,100,0
1,5.4,100,1,200,100,0
1,5.6,100,1,200,100,0
1,5.8,100,1,200,100,0
1,6,100,1,200,100,0
1,6.2,100,1,200,100,0
1,6.4,100,1,200,100,0
1,6.6,100,1,200,100,0
1,6.8,100,1,200,100,0
1,7,100,1,200,100,0
1,8,100,1,200,100,0
1,10,100,1,200,100,0
1,12,100,1,200,100,0
1,40,100,1,200,100,0
2,0,100,1,200,100,0
2,2,100,1,200,100,0
2,4,100,1,200,100,0
2,4.2,100,1,200,100,0
2,4.4,100,1,200,100,0
2,4.6,100,1,200,100,0
2,4.8,100,1,200,100,0
2,5,100,1,200,100,0
2,5.2,100,1,200,100,0
2,5.4,100,1,200,100,0
2,5.6,100,1,200,100,0
2,5.8,100,1,200,100,0
2,6,100,1,200,100,0
2,6.2,100,1,200,100,0
2,6.4,100,1,200,100,0
2,6.6,100,1,200,100,0
2,6.8,100,1,200,100,0
2,7,100,1,200,100,0
2,8,100,1,200,100,0
2,10,100,1,200,100,0
2,12,100,1,200,100,0
2,40,100,1,200,100,0
3,0,100,1,200,100,0
3,2,100,1,200,100,0
3,4,100,1,200,100,0
3,4.2,100,1,200,100,0
3,4.4,100,1,200,100,0
3,4.6,100,1,200,100,0
3,4.8,100,1,200,100,0
3,5,100,1,200,100,0
3,5.2,100,1,200,100,0
3,5.4,100,1,200,100,0
3,5.6,100,1,200,100,0
3,5.8,100,1,200,100,0
3,6,100,1,200,100,0
3,6.2,100,1,200,100,0
3,6.4,100,1,200,100,0
3,6.6,100,1,200,100,0
3,6.8,100,1,200,100,0
3,7,100,1,200,100,0
3,7.2,100,1,200,100,0
3,7.4,100,1,200,100,0
3,7.6,100,1,200,100,0
3,7.8,100,1,200,100,0
3,8,100,1,200,100,0
3,10,100,1,200,100,0
3,12,100,1,200,100,0
3,40,100,1,200,100,0
4,0,100,1,200,100,0
4,2,100,1,200,100,0
4,4,100,1,200,100,0
4,4.2,100,1,200,100,0
4,4.4,100,1,200,100,0
4,4.6,100,1,200,100,0
4,4.8,100,1,200,100,0
4,5,100,1,200,100,0
4,5.2,100,1,200,100,0
4,5.4,100,1,200,100,0
4,5.6,100,1,200,100,0
4,5.8,100,1,200,100,0
4,6,100,1,200,100,0
4,6.2,100,1,200,100,0
4,6.4,100,1,200,100,0
4,6.6,100,1,200,100,0
4,6.8,100,1,200,100,0
4,7,100,1,200,100,0
4,8,100,1,200,100,0
4,10,100,1,200,100,0
4,12,100,1,200,100,0
4,40,100,1,200,100,0
